,source_model,source_model_file,target_model,target_model_file,batch_index,layer_index,layer_name,fool_method,with_ILA,fool_rate,acc_after_attack,original_acc
54,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,4.0,layer3,momentum_ifgsm,True,100.0,0.0,100.0
55,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,4.0,layer3,momentum_ifgsm,True,100.0,0.0,100.0
56,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,5.0,layer4,momentum_ifgsm,True,100.0,0.0,100.0
57,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,5.0,layer4,momentum_ifgsm,True,100.0,0.0,100.0
58,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,5.0,layer4,momentum_ifgsm,True,0.0,100.0,100.0
59,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,5.0,layer4,momentum_ifgsm,True,100.0,0.0,100.0
60,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,6.0,linear,momentum_ifgsm,True,100.0,0.0,100.0
61,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,6.0,linear,momentum_ifgsm,True,100.0,0.0,100.0
62,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,6.0,linear,momentum_ifgsm,True,0.0,100.0,100.0
63,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,6.0,linear,momentum_ifgsm,True,100.0,0.0,100.0
64,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,,,momentum_ifgsm,False,100.0,0.0,100.0
65,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,2,,,momentum_ifgsm,False,100.0,0.0,100.0
66,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,2,,,momentum_ifgsm,False,100.0,0.0,100.0
67,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,2,,,momentum_ifgsm,False,100.0,0.0,100.0
68,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,0.0,conv1,momentum_ifgsm,True,100.0,0.0,100.0
69,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,0.0,conv1,momentum_ifgsm,True,100.0,0.0,100.0
70,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,0.0,conv1,momentum_ifgsm,True,100.0,0.0,100.0
71,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,0.0,conv1,momentum_ifgsm,True,100.0,0.0,100.0
72,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,1.0,bn1,momentum_ifgsm,True,100.0,0.0,100.0
73,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,1.0,bn1,momentum_ifgsm,True,100.0,0.0,100.0
74,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,1.0,bn1,momentum_ifgsm,True,100.0,0.0,100.0
75,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,1.0,bn1,momentum_ifgsm,True,100.0,0.0,100.0
76,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,2.0,layer1,momentum_ifgsm,True,100.0,0.0,100.0
77,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,2.0,layer1,momentum_ifgsm,True,100.0,0.0,100.0
78,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,2.0,layer1,momentum_ifgsm,True,100.0,0.0,100.0
79,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,2.0,layer1,momentum_ifgsm,True,100.0,0.0,100.0
80,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,3.0,layer2,momentum_ifgsm,True,100.0,0.0,100.0
81,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,3.0,layer2,momentum_ifgsm,True,100.0,0.0,100.0
82,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,3.0,layer2,momentum_ifgsm,True,100.0,0.0,100.0
83,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,3.0,layer2,momentum_ifgsm,True,100.0,0.0,100.0
84,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,4.0,layer3,momentum_ifgsm,True,100.0,0.0,100.0
85,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,4.0,layer3,momentum_ifgsm,True,100.0,0.0,100.0
86,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,4.0,layer3,momentum_ifgsm,True,100.0,0.0,100.0
87,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,4.0,layer3,momentum_ifgsm,True,100.0,0.0,100.0
88,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,5.0,layer4,momentum_ifgsm,True,100.0,0.0,100.0
89,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,5.0,layer4,momentum_ifgsm,True,100.0,0.0,100.0
90,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,5.0,layer4,momentum_ifgsm,True,100.0,0.0,100.0
91,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,5.0,layer4,momentum_ifgsm,True,100.0,0.0,100.0
92,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,6.0,linear,momentum_ifgsm,True,100.0,0.0,100.0
93,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,6.0,linear,momentum_ifgsm,True,100.0,0.0,100.0
94,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,6.0,linear,momentum_ifgsm,True,100.0,0.0,100.0
95,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,2,6.0,linear,momentum_ifgsm,True,0.0,100.0,100.0
96,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,3,,,momentum_ifgsm,False,100.0,0.0,100.0
97,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,3,,,momentum_ifgsm,False,100.0,0.0,100.0
98,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,3,,,momentum_ifgsm,False,100.0,0.0,100.0
99,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,3,,,momentum_ifgsm,False,100.0,0.0,100.0
100,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,3,0.0,conv1,momentum_ifgsm,True,0.0,100.0,100.0
101,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,3,0.0,conv1,momentum_ifgsm,True,0.0,100.0,100.0
102,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,3,0.0,conv1,momentum_ifgsm,True,100.0,0.0,100.0
